"Resource","Total.Capacity","Current.Census","Available","Current.Utilization","Available.Capacity","Date"
"ICU Beds",278,228,50,82,18,2020-09-24 07:12:00
"Ventilators",245,103,142,42,58,2020-09-24 07:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-24 12:12:00
"ICU Beds",278,228,50,82,18,2020-09-24 12:12:00
"Ventilators",245,103,142,42,58,2020-09-24 12:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-24 13:12:00
"ICU Beds",278,228,50,82,18,2020-09-24 13:12:00
"Ventilators",245,103,142,42,58,2020-09-24 13:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-24 18:12:00
"ICU Beds",278,228,50,82,18,2020-09-24 18:12:00
"Ventilators",245,103,142,42,58,2020-09-24 18:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-24 19:12:00
"ICU Beds",278,228,50,82,18,2020-09-24 19:12:00
"Ventilators",245,103,142,42,58,2020-09-24 19:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-25 01:12:00
"ICU Beds",278,228,50,82,18,2020-09-25 01:12:00
"Ventilators",245,103,142,42,58,2020-09-25 01:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-25 07:12:00
"ICU Beds",278,228,50,82,18,2020-09-25 07:12:00
"Ventilators",245,103,142,42,58,2020-09-25 07:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-25 13:12:00
"ICU Beds",278,228,50,82,18,2020-09-25 13:12:00
"Ventilators",245,103,142,42,58,2020-09-25 13:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-25 19:12:00
"ICU Beds",278,228,50,82,18,2020-09-25 19:12:00
"Ventilators",245,103,142,42,58,2020-09-25 19:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-26 01:12:00
"ICU Beds",278,228,50,82,18,2020-09-26 01:12:00
"Ventilators",245,103,142,42,58,2020-09-26 01:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-26 07:12:00
"ICU Beds",278,228,50,82,18,2020-09-26 07:12:00
"Ventilators",245,103,142,42,58,2020-09-26 07:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-26 13:12:00
"ICU Beds",278,228,50,82,18,2020-09-26 13:12:00
"Ventilators",245,103,142,42,58,2020-09-26 13:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-26 19:12:00
"ICU Beds",278,228,50,82,18,2020-09-26 19:12:00
"Ventilators",245,103,142,42,58,2020-09-26 19:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-27 01:12:00
"ICU Beds",278,228,50,82,18,2020-09-27 01:12:00
"Ventilators",245,103,142,42,58,2020-09-27 01:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-27 07:12:00
"ICU Beds",278,228,50,82,18,2020-09-27 07:12:00
"Ventilators",245,103,142,42,58,2020-09-27 07:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-27 12:12:00
"ICU Beds",278,228,50,82,18,2020-09-27 12:12:00
"Ventilators",245,103,142,42,58,2020-09-27 12:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-27 13:12:00
"ICU Beds",278,228,50,82,18,2020-09-27 13:12:00
"Ventilators",245,103,142,42,58,2020-09-27 13:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-27 19:12:01
"ICU Beds",278,228,50,82,18,2020-09-27 19:12:01
"Ventilators",245,103,142,42,58,2020-09-27 19:12:01
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-28 01:12:00
"ICU Beds",278,228,50,82,18,2020-09-28 01:12:00
"Ventilators",245,103,142,42,58,2020-09-28 01:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-28 07:12:01
"ICU Beds",278,228,50,82,18,2020-09-28 07:12:01
"Ventilators",245,103,142,42,58,2020-09-28 07:12:01
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-28 12:12:00
"ICU Beds",278,228,50,82,18,2020-09-28 12:12:00
"Ventilators",245,103,142,42,58,2020-09-28 12:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-28 13:12:00
"ICU Beds",278,228,50,82,18,2020-09-28 13:12:00
"Ventilators",245,103,142,42,58,2020-09-28 13:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-28 19:12:00
"ICU Beds",278,228,50,82,18,2020-09-28 19:12:00
"Ventilators",245,103,142,42,58,2020-09-28 19:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-29 12:12:05
"ICU Beds",278,228,50,82,18,2020-09-29 12:12:05
"Ventilators",245,103,142,42,58,2020-09-29 12:12:05
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-29 13:12:01
"ICU Beds",278,228,50,82,18,2020-09-29 13:12:01
"Ventilators",245,103,142,42,58,2020-09-29 13:12:01
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-29 18:12:00
"ICU Beds",278,228,50,82,18,2020-09-29 18:12:00
"Ventilators",245,103,142,42,58,2020-09-29 18:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-29 19:12:00
"ICU Beds",278,228,50,82,18,2020-09-29 19:12:00
"Ventilators",245,103,142,42,58,2020-09-29 19:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-30 00:12:00
"ICU Beds",278,228,50,82,18,2020-09-30 00:12:00
"Ventilators",245,103,142,42,58,2020-09-30 00:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-30 01:12:00
"ICU Beds",278,228,50,82,18,2020-09-30 01:12:00
"Ventilators",245,103,142,42,58,2020-09-30 01:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-30 07:12:00
"ICU Beds",278,228,50,82,18,2020-09-30 07:12:00
"Ventilators",245,103,142,42,58,2020-09-30 07:12:00
"All Hospital Beds",3062,2240,822,73.2,26.8,2020-09-30 12:12:00
"ICU Beds",278,228,50,82,18,2020-09-30 12:12:00
"Ventilators",245,103,142,42,58,2020-09-30 12:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-14 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-14 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-14 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-14 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-14 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-14 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-15 00:12:08
"ICU Beds",278,240,38,86.3,13.7,2020-10-15 00:12:08
"Ventilators",245,102,143,41.6,58.4,2020-10-15 00:12:08
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-15 01:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-15 01:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-15 01:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-15 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-15 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-15 07:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-15 12:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-15 12:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-15 12:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-15 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-15 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-15 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-15 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-15 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-15 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-16 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-16 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-16 07:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-16 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-16 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-16 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-16 18:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-16 18:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-16 18:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-16 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-16 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-16 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-17 01:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-17 01:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-17 01:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-17 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-17 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-17 07:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-17 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-17 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-17 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-17 18:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-17 18:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-17 18:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-17 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-17 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-17 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-18 01:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-18 01:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-18 01:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-18 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-18 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-18 07:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-18 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-18 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-18 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-18 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-18 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-18 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-19 01:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-19 01:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-19 01:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-19 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-19 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-19 07:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-19 12:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-19 12:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-19 12:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-19 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-19 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-19 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-19 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-19 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-19 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-20 00:13:35
"ICU Beds",278,240,38,86.3,13.7,2020-10-20 00:13:35
"Ventilators",245,102,143,41.6,58.4,2020-10-20 00:13:35
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-20 01:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-20 01:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-20 01:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-20 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-20 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-20 07:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-20 13:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-20 13:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-20 13:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-20 18:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-20 18:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-20 18:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-20 19:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-20 19:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-20 19:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-21 00:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-21 00:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-21 00:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-21 01:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-21 01:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-21 01:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-21 06:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-21 06:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-21 06:12:00
"All Hospital Beds",3061,2244,817,73.3,26.7,2020-10-21 07:12:00
"ICU Beds",278,240,38,86.3,13.7,2020-10-21 07:12:00
"Ventilators",245,102,143,41.6,58.4,2020-10-21 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-17 19:12:01
"ICU Beds",317,271,46,85.5,14.5,2021-03-17 19:12:01
"Ventilators",259,87,172,33.6,66.4,2021-03-17 19:12:01
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-18 00:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-18 00:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-18 00:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-18 01:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-18 01:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-18 01:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-18 07:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-18 07:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-18 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-18 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-18 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-18 13:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-18 18:12:01
"ICU Beds",317,271,46,85.5,14.5,2021-03-18 18:12:01
"Ventilators",259,87,172,33.6,66.4,2021-03-18 18:12:01
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-18 19:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-18 19:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-18 19:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-19 01:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-19 01:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-19 01:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-19 07:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-19 07:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-19 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-19 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-19 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-19 13:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-19 19:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-19 19:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-19 19:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-20 00:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-20 00:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-20 00:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-20 01:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-20 01:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-20 01:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-20 07:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-20 07:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-20 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-20 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-20 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-20 13:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-20 18:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-20 18:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-20 18:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-20 19:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-20 19:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-20 19:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-21 00:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-21 00:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-21 00:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-21 01:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-21 01:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-21 01:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-21 07:12:01
"ICU Beds",317,271,46,85.5,14.5,2021-03-21 07:12:01
"Ventilators",259,87,172,33.6,66.4,2021-03-21 07:12:01
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-21 12:12:01
"ICU Beds",317,271,46,85.5,14.5,2021-03-21 12:12:01
"Ventilators",259,87,172,33.6,66.4,2021-03-21 12:12:01
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-21 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-21 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-21 13:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-21 19:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-21 19:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-21 19:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 00:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 00:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 00:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 01:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 01:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 01:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 06:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 06:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 06:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 07:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 07:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 12:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 12:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 12:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 13:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 18:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 18:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 18:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-22 19:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-22 19:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-22 19:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-23 00:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-23 00:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-23 00:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-23 01:12:01
"ICU Beds",317,271,46,85.5,14.5,2021-03-23 01:12:01
"Ventilators",259,87,172,33.6,66.4,2021-03-23 01:12:01
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-23 07:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-23 07:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-23 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-23 12:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-23 12:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-23 12:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-23 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-23 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-23 13:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-23 19:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-23 19:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-23 19:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-24 00:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-24 00:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-24 00:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-24 01:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-24 01:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-24 01:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-24 06:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-24 06:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-24 06:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-24 07:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-24 07:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-24 07:12:00
"All Hospital Beds",3094,2355,739,76.1,23.9,2021-03-24 13:12:00
"ICU Beds",317,271,46,85.5,14.5,2021-03-24 13:12:00
"Ventilators",259,87,172,33.6,66.4,2021-03-24 13:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-24 19:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-24 19:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-24 19:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-25 00:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-25 00:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-25 00:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-25 01:12:01
"ICU Beds",317,289,28,91.2,8.8,2021-03-25 01:12:01
"Ventilators",259,85,174,32.8,67.2,2021-03-25 01:12:01
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-25 07:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-25 07:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-25 07:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-25 13:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-25 13:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-25 13:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-25 19:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-25 19:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-25 19:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-26 01:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-26 01:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-26 01:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-26 07:12:01
"ICU Beds",317,289,28,91.2,8.8,2021-03-26 07:12:01
"Ventilators",259,85,174,32.8,67.2,2021-03-26 07:12:01
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-26 13:12:01
"ICU Beds",317,289,28,91.2,8.8,2021-03-26 13:12:01
"Ventilators",259,85,174,32.8,67.2,2021-03-26 13:12:01
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-26 18:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-26 18:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-26 18:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-26 19:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-26 19:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-26 19:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-27 01:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-27 01:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-27 01:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-27 07:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-27 07:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-27 07:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-27 12:12:01
"ICU Beds",317,289,28,91.2,8.8,2021-03-27 12:12:01
"Ventilators",259,85,174,32.8,67.2,2021-03-27 12:12:01
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-27 13:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-27 13:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-27 13:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-27 18:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-27 18:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-27 18:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-27 19:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-27 19:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-27 19:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-28 01:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-28 01:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-28 01:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-28 07:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-28 07:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-28 07:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-28 13:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-28 13:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-28 13:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-28 19:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-28 19:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-28 19:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-29 01:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-29 01:12:00
"Ventilators",259,85,174,32.8,67.2,2021-03-29 01:12:00
"All Hospital Beds",3102,2449,653,78.9,21.1,2021-03-29 06:12:00
"ICU Beds",317,289,28,91.2,8.8,2021-03-29 06:12:00
